position;time;model;response
0;0.8196265697479248;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
1;0.877234697341919;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
2;0.8920848369598389;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
3;0.9658141136169434;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
4;0.9133830070495605;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
5;1.0278286933898926;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
6;0.8847510814666748;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
7;1.3443663120269775;swiss-ai/Apertus-8B-Instruct-2509;'Die Republik' wurde von Platon geschrieben. Die Hauptidee des Werkes ist die Frage, wie eine gerechte Gesellschaft organisiert sein sollte.
8;0.9096722602844238;swiss-ai/Apertus-8B-Instruct-2509;"SELECT * FROM users;"
9;1.2832906246185303;swiss-ai/Apertus-8B-Instruct-2509;'Wissen ist Macht' übersetzt ins Deutsche heißt: 'Wissen ist Macht'.
10;1.0166268348693848;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
11;1.2130796909332275;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
12;0.9545354843139648;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
13;0.9718282222747803;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
14;1.3023052215576172;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を!'
15;1.4916787147521973;swiss-ai/Apertus-8B-Instruct-2509;'Guten Morgen, einen schönen Tag!' übersetzt ins Japanische lautet: 'おはようございます、素敵な一日を!'
16;0.8150448799133301;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
17;0.9951083660125732;swiss-ai/Apertus-8B-Instruct-2509;'Dove si trova la stazione più vicina?'
18;0.7778608798980713;swiss-ai/Apertus-8B-Instruct-2509;"""J'aime programmer"""
19;1.2505521774291992;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
20;1.2932519912719727;swiss-ai/Apertus-8B-Instruct-2509;'Wissen ist Macht' übersetzt ins Deutsche heißt: 'Wissen ist Macht'.
21;1.4807264804840088;swiss-ai/Apertus-8B-Instruct-2509;"```python
def durchschnitt(liste):
    if not liste:
        return 0
    return sum(liste) / len(liste)
```"
22;0.864678144454956;swiss-ai/Apertus-8B-Instruct-2509;'Hola, ¿cómo estás?'
23;1.278674840927124;swiss-ai/Apertus-8B-Instruct-2509;Die Ableitung von x^2 + 3x ist 2x + 3.
